School,N,Advanced,,,,
Bowling Green City Sd,259,5,,,,
Eastwood Local Sd,145,10,,,,
Elmwood Local Sd,95,3,,,,
Lake Local Sd,138,2,,,,
North Baltimore Local Sd,53,0,,,,
Northwood Local Sd,82,4,,,,
Otsego Local Sd,140,2,,,,
Perrysburg Ex Vill Sd,335,16,,,,
Rossford Ex Vill Sd,139,4,,,,
